"Installed modules","Módulos instalados"
"Modules report","Relatório dos módulos"
"Modules list","Lista dos módulos"
"Search the last version","Buscar a última versão"
"Update notification by email","Notificação de atualização por e-mail"
"Separate addresses by a space.","Separar os endereços por um espaço."
"Installed modules / Tools / Magento Admin","Módulos instalados / Ferramentas / Admin do Magento"
"Module name","Nome do módulo"
"Job","Tarefa"
" Enabled","Ativa"
" Disabled","Inativa"
"Installed version","Versão instalada"
"Last version","Última versão"
"Latest version of","Última versão de"
"Up to date","Atualizado"
"To update","Para atualizar"
"Beta","Beta"
"Source","Fonte"
"Destination","Destino"
"Conflict","Conflito"
"Can not send the report by email to %s.","Impossível enviar o relatório por e-mail a %s."
"Search a module name in all lists","Buscar o nome de um módulo em todas as listas"
"Cron jobs list","Lista das tarefas cron"
"Observers list","Lista dos observadores"
"Rewrites list","Lista das sobrecargas"
