"Installed modules","Moduli installati"
"Modules report","Rapporto dei moduli"
"Modules list","Lista dei moduli"
"Search the last version","Cercare l'ultima versione"
"Update notification by email","Notificazione aggiornamenti via email"
"Separate addresses by a space.","Separare gli indirizzi con uno spazio."
"Installed modules / Tools / Magento Admin","Moduli installati / Strumenti / Admin Magento"
"Module name","Nome del modulo"
"Job","Compito"
" Enabled","Abilitato"
" Disabled","Disabilitato"
"Installed version","Versione installata"
"Last version","Ultima versione"
"Latest version of","Ultima versione del"
"Up to date","Aggiornato"
"To update","Da aggiornare"
"Beta","Beta"
"Source","Fonte"
"Destination","Destinazione"
"Conflict","Conflitto"
"Can not send the report by email to %s.","Impossibile inviare il rapporto via email a %s."
"Search a module name in all lists","Cercare il nome del modulo in tutte le liste"
"Cron jobs list","Lista dei compiti cron"
"Observers list","Lista degli osservatori"
"Rewrites list","Lista dei sovraccarichi"
