"Installed modules","Módulos instalados"
"Modules report","Relatório dos módulos"
"Modules list","Lista dos módulos"
"Search the latest version","Buscar a última versão"
"Update notification by email","Notificação de atualização por e-mail"
"Separate addresses by a space.","Separar os endereços por um espaço."
"Module name","Nome do módulo"
"Job","Tarefa"
" Enabled","Ativa"
" Disabled","Inativa"
"Installed version","Versão instalada"
"Latest version","Última versão"
"Latest version of","Última versão de"
"Up to date","Atualizado"
"To update","Para atualizar"
"Source","Fonte"
"Destination","Destino"
"Conflict","Conflito"
"Can not send the report by email to %s.","Impossível enviar o relatório por e-mail a %s."
"Search in all lists","Buscar em todas as listas"
"Cron jobs list","Lista das tarefas cron"
"Observers list","Lista dos observadores"
"Rewrites list","Lista das sobrecargas"
